x,y,z
-0.400000,-2.700000,-0.393121
-0.300000,-2.700000,0.812447
-0.200000,-2.700000,1.138548
-0.100000,-2.700000,1.345729
0.000000,-2.700000,1.504886
0.100000,-2.700000,1.635148
0.200000,-2.700000,1.745108
0.300000,-2.700000,1.839516
0.400000,-2.700000,1.921322
0.500000,-2.700000,1.992502
0.600000,-2.700000,2.054451
0.700000,-2.700000,2.108190
0.800000,-2.700000,2.078461
0.900000,-2.700000,2.037155
1.000000,-2.700000,1.989975
1.100000,-2.700000,1.936492
1.200000,-2.700000,1.876166
1.300000,-2.700000,1.808314
1.400000,-2.700000,1.732051
1.500000,-2.700000,1.646208
1.600000,-2.700000,1.549193
1.700000,-2.700000,1.438749
1.800000,-2.700000,1.311488
1.900000,-2.700000,1.161895
2.000000,-2.700000,0.979796
2.100000,-2.700000,0.741620
2.200000,-2.700000,0.346410
2.300000,-2.700000,
2.400000,-2.700000,
2.500000,-2.700000,
2.600000,-2.700000,
2.700000,-2.700000,
2.800000,-2.700000,
2.900000,-2.700000,
3.000000,-2.700000,
3.100000,-2.700000,
3.200000,-2.700000,
3.300000,-2.700000,
3.400000,-2.700000,
3.500000,-2.700000,
-3.500000,-2.600000,
-3.400000,-2.600000,
-3.300000,-2.600000,
-3.200000,-2.600000,
-3.100000,-2.600000,
-3.000000,-2.600000,
-2.900000,-2.600000,
-2.800000,-2.600000,
-2.700000,-2.600000,
-2.600000,-2.600000,
-2.500000,-2.600000,
-2.400000,-2.600000,
-2.300000,-2.600000,-0.274708
-2.200000,-2.600000,-0.339447
-2.100000,-2.600000,-0.417133
-2.000000,-2.600000,-0.510792
-1.900000,-2.600000,-0.625501
-1.800000,-2.600000,-0.771042
-1.700000,-2.600000,-0.972025
-1.600000,-2.600000,-1.403841
-1.500000,-2.600000,
-1.400000,-2.600000,
-1.300000,-2.600000,
-1.200000,-2.600000,
-1.100000,-2.600000,
-1.000000,-2.600000,
-0.900000,-2.600000,
-0.800000,-2.600000,-1.009357
-0.700000,-2.600000,-0.756496
-0.600000,-2.600000,-0.577334
-0.500000,-2.600000,-0.435530
-0.400000,-2.600000,-0.318049
-0.300000,-2.600000,0.517732
-0.200000,-2.600000,1.031907
-0.100000,-2.600000,1.265849
0.000000,-2.600000,1.437663
0.100000,-2.600000,1.575573
0.200000,-2.600000,1.690728
0.300000,-2.600000,1.788910
0.400000,-2.600000,1.873580
0.500000,-2.600000,1.946997
0.600000,-2.600000,2.010728
0.700000,-2.600000,2.065901
0.800000,-2.600000,2.113357
0.900000,-2.600000,2.153733
1.000000,-2.600000,2.118962
1.100000,-2.600000,2.068816
1.200000,-2.600000,2.012461
1.300000,-2.600000,1.949359
1.400000,-2.600000,1.878829
1.500000,-2.600000,1.800000
1.600000,-2.600000,1.711724
1.700000,-2.600000,1.612452
1.800000,-2.600000,1.500000
1.900000,-2.600000,1.371131
2.000000,-2.600000,1.220656
2.100000,-2.600000,1.039230
2.200000,-2.600000,0.806226
2.300000,-2.600000,0.447214
2.400000,-2.600000,
2.500000,-2.600000,
2.600000,-2.600000,
2.700000,-2.600000,
2.800000,-2.600000,
2.900000,-2.600000,
3.000000,-2.600000,
3.100000,-2.600000,
3.200000,-2.600000,
3.300000,-2.600000,
3.400000,-2.600000,
3.500000,-2.600000,
-3.500000,-2.500000,
-3.400000,-2.500000,
-3.300000,-2.500000,
-3.200000,-2.500000,
-3.100000,-2.500000,
-3.000000,-2.500000,
-2.900000,-2.500000,
-2.800000,-2.500000,
-2.700000,-2.500000,
-2.600000,-2.500000,
-2.500000,-2.500000,
-2.400000,-2.500000,0.036434
-2.300000,-2.500000,-0.170954
-2.200000,-2.500000,-0.230420
-2.100000,-2.500000,-0.301060
-2.000000,-2.500000,-0.384986
-1.900000,-2.500000,-0.485465
-1.800000,-2.500000,-0.608035
-1.700000,-2.500000,-0.763544
-1.600000,-2.500000,-0.980423
-1.500000,-2.500000,
-1.400000,-2.500000,
-1.300000,-2.500000,
-1.200000,-2.500000,
-1.100000,-2.500000,
-1.000000,-2.500000,
-0.900000,-2.500000,-1.244124
-0.800000,-2.500000,-0.877439
-0.700000,-2.500000,-0.661615
-0.600000,-2.500000,-0.498592
-0.500000,-2.500000,-0.366233
-0.400000,-2.500000,-0.255054
-0.300000,-2.500000,-0.003228
-0.200000,-2.500000,0.880363
-0.100000,-2.500000,1.164075
0.000000,-2.500000,1.354926
0.100000,-2.500000,1.503487
0.200000,-2.500000,1.625587
0.300000,-2.500000,1.728691
0.400000,-2.500000,1.817034
0.500000,-2.500000,1.893285
0.600000,-2.500000,1.959250
0.700000,-2.500000,2.016212
0.800000,-2.500000,2.065108
0.900000,-2.500000,2.106644
1.000000,-2.500000,2.141355
1.100000,-2.500000,2.169648
1.200000,-2.500000,2.135416
1.300000,-2.500000,2.076054
1.400000,-2.500000,2.009975
1.500000,-2.500000,1.936492
1.600000,-2.500000,1.854724
1.700000,-2.500000,1.763519
1.800000,-2.500000,1.661325
1.900000,-2.500000,1.545962
2.000000,-2.500000,1.414214
2.100000,-2.500000,1.260952
2.200000,-2.500000,1.077033
2.300000,-2.500000,0.842615
2.400000,-2.500000,0.489898
2.500000,-2.500000,
2.600000,-2.500000,
2.700000,-2.500000,
2.800000,-2.500000,
2.900000,-2.500000,
3.000000,-2.500000,
3.100000,-2.500000,
3.200000,-2.500000,
3.300000,-2.500000,
3.400000,-2.500000,
3.500000,-2.500000,
-3.500000,-2.400000,
-3.400000,-2.400000,
-3.300000,-2.400000,
-3.200000,-2.400000,
-3.100000,-2.400000,
-3.000000,-2.400000,
-2.900000,-2.400000,
-2.800000,-2.400000,
